player,team,xG,goals,shots,xG_per_shot,finishing_diff,shots_per_match
Aaron Cresswell,West Ham United,1.3085575805,2,27,0.04846509557407407,0.6914424195,2.7
Aaron Hunt,Hamburger SV,2.175365973,1,24,0.090640248875,-1.175365973,2.4
Aaron Lennon,Everton,1.901213309,5,18,0.10562296161111112,3.098786691,1.8
Aaron Long,LAFC,0.1332001,0,1,0.1332001,-0.1332001,0.1
Aaron Mooy,Australia,0.106916873,0,4,0.02672921825,-0.106916873,0.4
Aaron Ramsey,Arsenal,7.644182955,5,67,0.11409228291044776,-2.644182955,6.7
Aaron Ramsey,Wales,1.20199323,1,8,0.15024915375,-0.20199323000000002,0.8
Aaron Salem Boupendza Pozzi,Cincinnati,0.415663024,0,3,0.13855434133333333,-0.415663024,0.3
Aaron Tshibola,Congo DR,0.7539362,1,1,0.7539362,0.24606380000000005,0.1
Abbey-Leigh Stringer,Everton LFC,0.461597459,0,11,0.04196340536363636,-0.461597459,1.1
Abbey-Leigh Stringer,West Ham United LFC,0.12893069299999999,0,2,0.06446534649999999,-0.12893069299999999,0.2
Abbi Grant,Birmingham City WFC,1.9385766135,2,24,0.0807740255625,0.06142338650000001,2.4
Abbie Larkin,Republic of Ireland Women's,0.077020407,0,2,0.0385102035,-0.077020407,0.2
Abbie McManus,Manchester City WFC,0.72934824,0,4,0.18233706,-0.72934824,0.4
Abbie McManus,Manchester United,0.1453404,0,1,0.1453404,-0.1453404,0.1
Abby Dahlkemper,Manchester City WFC,0.17923512,0,2,0.08961756,-0.17923512,0.2
Abby Dahlkemper,San Diego Wave,0.527380069,1,4,0.13184501725,0.472619931,0.4
Abby Erceg,New Zealand Women's,0.058026243000000005,0,2,0.029013121500000003,-0.058026243000000005,0.2
Abby Erceg,North Carolina Courage,1.685084251,2,15,0.11233895006666667,0.3149157490000001,1.5
Abby Erceg,Racing Louisville FC,1.916205267,2,16,0.1197628291875,0.08379473299999995,1.6
