player,team,xG,goals,shots,xG_diff
Aaron Cresswell,West Ham United,1.3085575805,2,27,0.6914424195
Aaron Hunt,Hamburger SV,2.175365973,1,24,-1.175365973
Aaron Lennon,Everton,1.901213309,5,18,3.098786691
Aaron Long,LAFC,0.1332001,0,1,-0.1332001
Aaron Mooy,Australia,0.106916873,0,4,-0.106916873
Aaron Ramsey,Arsenal,7.644182955,5,67,-2.644182955
Aaron Ramsey,Wales,1.20199323,1,8,-0.20199323000000002
Aaron Salem Boupendza Pozzi,Cincinnati,0.415663024,0,3,-0.415663024
Aaron Tshibola,Congo DR,0.7539362,1,1,0.24606380000000005
Abbey-Leigh Stringer,Everton LFC,0.461597459,0,11,-0.461597459
Abbey-Leigh Stringer,West Ham United LFC,0.12893069299999999,0,2,-0.12893069299999999
Abbi Grant,Birmingham City WFC,1.9385766135,2,24,0.06142338650000001
Abbie Larkin,Republic of Ireland Women's,0.077020407,0,2,-0.077020407
Abbie McManus,Manchester City WFC,0.72934824,0,4,-0.72934824
Abbie McManus,Manchester United,0.1453404,0,1,-0.1453404
Abby Dahlkemper,Manchester City WFC,0.17923512,0,2,-0.17923512
Abby Dahlkemper,San Diego Wave,0.527380069,1,4,0.472619931
Abby Erceg,New Zealand Women's,0.058026243000000005,0,2,-0.058026243000000005
Abby Erceg,North Carolina Courage,1.685084251,2,15,0.3149157490000001
Abby Erceg,Racing Louisville FC,1.916205267,2,16,0.08379473299999995
Abdalla Mahmoud El Said Bekhit,Egypt,0.070778864,0,2,-0.070778864
Abdallah Dipo Sima,Angers,0.21350395,0,2,-0.21350395
Abdelaziz Barrada,Getafe,0.03313738,0,1,-0.03313738
Abdelaziz Barrada,Marseille,0.80391396,0,2,-0.80391396
Abdelaziz Barrada,Olympique de Marseille,2.654435512,1,24,-1.654435512
Abdelhamid El Kaoutari,Palermo,0.17782371,1,1,0.82217629
Abdelhamid El Kaoutari,Stade de Reims,0.157510027,0,2,-0.157510027
Abdelhamid Sabiri,Morocco,1.120229924,1,4,-0.12022992399999999
Abdelkader Mohamed Ghezzal,Levante UD,0.1869672,0,1,-0.1869672
Abdelkarim Hassan Al Haj Fadlalla,Qatar,0.39945018,0,6,-0.39945018
Abderrazak Hamdallah,Morocco,0.68550555,0,2,-0.68550555
Abdessamad Ezzalzouli,Morocco,0.620865718,0,5,-0.620865718
Abdiel Armando Ayarza Cocanegra,Panama,0.10740957300000001,0,3,-0.10740957300000001
Abdou Diallo,Paris Saint-Germain,0.13142902,0,2,-0.13142902
Abdou Diallo,Senegal,0.35069818,0,3,-0.35069818
Abdou Kader Mangane,Gazélec Ajaccio,1.372312537,1,15,-0.372312537
Abdoul Fessal Tapsoba,Burkina Faso,0.034987174,0,1,-0.034987174
Abdoul Karim Yoda,Getafe,0.817027153,0,8,-0.817027153
Abdoul Razack Guiebre,Burkina Faso,0.078121052,0,2,-0.078121052
Abdoul Razzagui Camara,Angers,2.061781464,2,29,-0.061781464000000064
Abdoulay Konko,Lazio,0.532043806,0,13,-0.532043806
Abdoulaye Ba,Rayo Vallecano,0.044670377,0,1,-0.044670377
