team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
AC Ajaccio,0.6603003825,0,15,0.0440200255,-0.6603003825,0.019487055596475802
AC Milan,61.4407625315,56,599,0.10257222459348915,-5.440762531499999,1.813264973144564
AC Milan W,48.7718546315,41,416,0.11724003517187499,-7.771854631499998,1.4393749692357272
AFC Bournemouth,45.7884857982,43,478,0.09579181129330544,-2.7884857982,1.3513285651140239
AS Monaco,56.084018927,55,454,0.12353308133700441,-1.0840189270000025,1.6551745597455416
AS Roma,59.4724145955,83,592,0.10046015978969594,23.5275854045,1.7551742818794558
AS Roma W,68.6059063085,73,556,0.12339191782104315,4.394093691500004,2.0247256338373383
ATK Mohun Bagan,17.545650212600002,20,168,0.10443839412261906,2.454349787399998,0.5178144223916964
Ajax,5.840510837,5,76,0.07684882680263158,-0.8405108370000001,0.17236755029812273
Albacete,1.1877941696,1,10,0.11877941696000001,-0.18779416960000006,0.03505466850182388
Albania,2.59785759,3,32,0.0811830496875,0.40214241000000017,0.07666903825859382
Algeria,4.945783939,3,47,0.1052294455106383,-1.945783939,0.1459620032666725
Almería,4.1947166155,4,61,0.0687658461557377,-0.19471661549999997,0.12379619649502371
Angel City,38.3760774635,29,309,0.12419442544822007,-9.376077463500003,1.1325705314215635
Angers,38.000556363,41,431,0.08816834422969838,2.999443636999999,1.121487998748499
Angola,7.249451175,9,54,0.13424909583333333,1.750548825,0.21394877518666564
Argentina,48.219838924,50,308,0.1565579185844156,1.7801610759999988,1.423083655362105
Argentina U20,1.949057694,3,19,0.10258198389473684,1.050942306,0.05752138973464387
Argentina Women's,3.9408616530000002,4,42,0.09383003935714286,0.05913834699999976,0.11630432476696398
Arsenal,130.376935406,131,1127,0.11568494712156167,0.6230645939999988,3.8477375692794733
Arsenal WFC,207.860407744,219,1406,0.1478381278406828,11.139592255999986,6.134461571379535
Aston Villa,49.1967268845,39,573,0.08585816210209424,-10.196726884500002,1.4519139733542217
Aston Villa W,30.708927945,26,260,0.11811126132692307,-4.708927944999999,0.9062944714747071
Atalanta,43.1177463784,38,472,0.09135115758135594,-5.1177463784,1.27250860841448
Athletic Club,73.4551632765,75,691,0.10630269649276411,1.5448367234999978,2.1678388935619965
Athletic Club Bilbao,31.7959428345,38,295,0.10778285706610169,6.2040571655,0.9383749005450075
Atletico Madrid W,50.1307151875,53,437,0.11471559539473684,2.8692848124999983,1.4794782190663147
Atlético Madrid,83.3120810625,96,794,0.10492705423488664,12.687918937500001,2.4587402923744883
Augsburg,42.554910778,41,453,0.09394020039293598,-1.554910778,1.255897973425683
Australia,6.267743295,5,60,0.10446238825,-1.2677432949999998,0.18497620975420748
Australia Women's,31.931608946,26,169,0.1889444316331361,-5.931608946000001,0.942378734447615
Austria,9.970812487,11,103,0.09680400472815534,1.029187513,0.2942627059226399
Austria Women's,4.475729179,3,60,0.07459548631666667,-1.475729179,0.13208955447779405
Auxerre,1.615445394,1,24,0.06731022475,-0.615445394,0.047675686763590144
Barcelona,1118.695581647,1369,8401,0.1331621927921676,250.30441835300007,33.01540264530579
Barcelona WFC,110.693207849,133,804,0.13767811921517414,22.306792150999996,3.266823331736772
Bastia,27.6276049429,32,327,0.08448808851039755,4.3723950571,0.8153572037643974
Bayer Leverkusen,127.7827355975,137,1103,0.11585016826609247,9.217264402500007,3.7711764809681148
Bayern Munich,88.6915964025,86,742,0.11953045337264151,-2.6915964024999965,2.61750275456748
Bayern München W,54.422593164,59,366,0.1486956097377049,4.5774068360000015,1.6061418814811181
Belgium,30.3922540914,26,265,0.11468775128830189,-4.392254091400002,0.8969486628781879
Belgium Women's,5.866972919,7,52,0.11282640228846154,1.1330270809999998,0.17314851011095836
Bengaluru,29.7122860585,30,257,0.11561200800972762,0.2877139415000016,0.8768811675198179
Birmingham City,1.228835179,0,11,0.111712289,-1.228835179,0.0362658875971169
Birmingham City WFC,50.663857326,44,511,0.09914649183170254,-6.663857325999999,1.495212528433875
Blackburn Rovers,1.361337397,0,17,0.08007867041176471,-1.361337397,0.04017634737762802
Boca Juniors,2.8956712330000003,5,23,0.12589874926086958,2.1043287669999997,0.08545823658762858
Bochum,0.703281555,0,9,0.078142395,-0.703281555,0.02075553358059876
Bolivia,0.849509426,1,17,0.049971142705882356,0.150490574,0.025071070459651366
Bologna,33.8093336261,33,395,0.08559324968632911,-0.809333626099999,0.997794915031129
Bolton Wanderers,2.84176341,2,31,0.09166978741935485,-0.84176341,0.08386728681427147
Bordeaux,42.3728925395,45,445,0.09521998323483147,2.6271074604999995,1.250526176547734
Borussia Dortmund,72.3845525815,83,551,0.13136942392286752,10.615447418499997,2.136242591805127
Borussia Mönchengladbach,49.858387598,64,473,0.10540885327272727,14.141612402,1.4714411755968742
Brazil,67.9670494895,56,540,0.12586490646203705,-11.967049489499999,2.005871429478248
Brazil Women's,13.553385562999999,12,113,0.11994146515929202,-1.553385562999999,0.39999307131501394
Brighton & Hove Albion WFC,88.7687320545,73,787,0.11279381455463787,-15.768732054500006,2.619779213553167
Bristol City WFC,63.1612000781,61,607,0.10405469535107084,-2.161200078100002,1.8640392313600795
Burkina Faso,5.2572732559999995,4,46,0.11428854904347825,-1.2572732559999995,0.15515480369351045
CD Numancia de Soria,0.449751434,2,10,0.0449751434,1.550248566,0.013273248708064648
