team,xG,goals,shots,xG_diff
AC Ajaccio,0.6603003825,0,15,-0.6603003825
AC Milan,61.4407625315,56,599,-5.440762531499999
AC Milan W,48.7718546315,41,416,-7.771854631499998
AFC Bournemouth,45.7884857982,43,478,-2.7884857982
AS Monaco,56.084018927,55,454,-1.0840189270000025
AS Roma,59.4724145955,83,592,23.5275854045
AS Roma W,68.6059063085,73,556,4.394093691500004
ATK Mohun Bagan,17.545650212600002,20,168,2.454349787399998
Ajax,5.840510837,5,76,-0.8405108370000001
Albacete,1.1877941696,1,10,-0.18779416960000006
Albania,2.59785759,3,32,0.40214241000000017
Algeria,4.945783939,3,47,-1.945783939
Almería,4.1947166155,4,61,-0.19471661549999997
Angel City,38.3760774635,29,309,-9.376077463500003
Angers,38.000556363,41,431,2.999443636999999
Angola,7.249451175,9,54,1.750548825
Argentina,48.219838924,50,308,1.7801610759999988
Argentina U20,1.949057694,3,19,1.050942306
Argentina Women's,3.9408616530000002,4,42,0.05913834699999976
Arsenal,130.376935406,131,1127,0.6230645939999988
Arsenal WFC,207.860407744,219,1406,11.139592255999986
Aston Villa,49.1967268845,39,573,-10.196726884500002
Aston Villa W,30.708927945,26,260,-4.708927944999999
Atalanta,43.1177463784,38,472,-5.1177463784
Athletic Club,73.4551632765,75,691,1.5448367234999978
Athletic Club Bilbao,31.7959428345,38,295,6.2040571655
Atletico Madrid W,50.1307151875,53,437,2.8692848124999983
Atlético Madrid,83.3120810625,96,794,12.687918937500001
Augsburg,42.554910778,41,453,-1.554910778
Australia,6.267743295,5,60,-1.2677432949999998
Australia Women's,31.931608946,26,169,-5.931608946000001
Austria,9.970812487,11,103,1.029187513
Austria Women's,4.475729179,3,60,-1.475729179
Auxerre,1.615445394,1,24,-0.615445394
Barcelona,1118.695581647,1369,8401,250.30441835300007
Barcelona WFC,110.693207849,133,804,22.306792150999996
Bastia,27.6276049429,32,327,4.3723950571
Bayer Leverkusen,127.7827355975,137,1103,9.217264402500007
Bayern Munich,88.6915964025,86,742,-2.6915964024999965
Bayern München W,54.422593164,59,366,4.5774068360000015
Belgium,30.3922540914,26,265,-4.392254091400002
Belgium Women's,5.866972919,7,52,1.1330270809999998
Bengaluru,29.7122860585,30,257,0.2877139415000016
Birmingham City,1.228835179,0,11,-1.228835179
Birmingham City WFC,50.663857326,44,511,-6.663857325999999
Blackburn Rovers,1.361337397,0,17,-1.361337397
Boca Juniors,2.8956712330000003,5,23,2.1043287669999997
Bochum,0.703281555,0,9,-0.703281555
Bolivia,0.849509426,1,17,0.150490574
Bologna,33.8093336261,33,395,-0.809333626099999
Bolton Wanderers,2.84176341,2,31,-0.84176341
Bordeaux,42.3728925395,45,445,2.6271074604999995
Borussia Dortmund,72.3845525815,83,551,10.615447418499997
Borussia Mönchengladbach,49.858387598,64,473,14.141612402
Brazil,67.9670494895,56,540,-11.967049489499999
Brazil Women's,13.553385562999999,12,113,-1.553385562999999
Brighton & Hove Albion WFC,88.7687320545,73,787,-15.768732054500006
Bristol City WFC,63.1612000781,61,607,-2.161200078100002
Burkina Faso,5.2572732559999995,4,46,-1.2572732559999995
CD Numancia de Soria,0.449751434,2,10,1.550248566
CD Sporting de Huelva,22.029431319,20,241,-2.0294313190000004
Caen,8.7809113095,8,106,-0.7809113095000004
Cameroon,6.8575279815,8,65,1.1424720185000004
Cameroon W,4.318213293,3,43,-1.3182132930000003
Canada,19.767138559,12,109,-7.767138558999999
Canada Women's,12.3094737725,5,105,-7.3094737725000005
Cape Verde Islands,10.669551605499999,9,80,-1.6695516054999988
Carpi,42.9438185031,33,434,-9.943818503099997
Celta Vigo,67.7688442755,66,591,-1.7688442755000011
Charlotte,0.882619195,1,11,0.11738080500000003
Charlton Athletic,1.9032248345,2,19,0.09677516549999998
Chelsea,63.5882040253,62,572,-1.5882040253000014
Chelsea FCW,221.576266782,222,1581,0.4237332179999953
Chennaiyin,20.816620054,16,227,-4.816620054000001
Chicago Red Stars,37.282660968,36,315,-1.2826609680000018
Chievo,40.2995395215,42,431,1.7004604784999984
Chile,1.642694065,0,22,-1.642694065
Chile Women's,2.856028018,1,34,-1.856028018
China PR Women's,5.444196967,3,63,-2.444196967
Cincinnati,1.746769054,1,15,-0.746769054
Clermont Foot,4.769362399,4,29,-0.7693623990000003
Colombia,16.745249707,21,125,4.254750293000001
Colombia Women's,4.8648839995,6,63,1.1351160005
Como W,30.221110768,28,307,-2.221110767999999
Congo DR,24.177088153,19,108,-5.177088153
Costa Adeje Tenerife,36.277515673,34,364,-2.2775156730000035
Costa Rica,4.463311858,5,48,0.536688142
Costa Rica Women's,2.668356042,1,23,-1.668356042
Croatia,44.931920653,43,295,-1.9319206529999988
Crystal Palace,47.7015397015,38,477,-9.701539701500003
Czech Republic,10.875673398,9,100,-1.875673398
Czechoslovakia,2.847249667,1,32,-1.8472496669999998
Cádiz,4.443836748,4,23,-0.44383674799999984
Córdoba CF,0.7223808270000001,0,13,-0.7223808270000001
Côte d'Ivoire,13.593638489,13,102,-0.5936384889999999
Darmstadt 98,40.6981277743,39,360,-1.6981277742999978
Denmark,24.7577231205,20,224,-4.7577231205
Denmark Women's,11.07834689,7,108,-4.078346890000001
Deportivo Alavés,7.6924149195,6,66,-1.6924149195
Duisburg WFC,14.8687246225,16,178,1.1312753774999997
East Bengal,18.6379129688,18,226,-0.6379129687999985
Ecuador,12.007853599,10,84,-2.0078535990000006
Egypt,16.598683003999998,16,111,-0.598683003999998
Eibar,61.0244220985,53,542,-8.024422098499997
Eintracht Frankfurt,35.1016311317,33,385,-2.101631131700003
